Area,Year,Item,Area harvested,Production,Yield
Afghanistan,2019,"Almonds, in shell",29203.0,38205.0,1308.3
Afghanistan,2019,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",25293.0,17807.76,704.1
Afghanistan,2019,Apples,27559.0,250324.0,9083.2
Afghanistan,2019,Apricots,17719.0,129363.0,7300.8
Afghanistan,2019,Barley,84070.0,123576.0,1469.9
Afghanistan,2019,Cantaloupes and other melons,37136.0,464230.0,12500.8
Afghanistan,2019,Figs,3529.0,24319.0,6891.2
Afghanistan,2019,Grapes,89593.0,1112927.0,12422.0
Afghanistan,2019,Linseed,38323.0,55000.0,1435.2
Afghanistan,2019,Maize (corn),94910.0,184671.0,1945.7
Afghanistan,2019,Millet,1401.0,2714.0,1937.2
Afghanistan,2019,Mustard seed,1691.0,1700.0,1005.3
Afghanistan,2019,Olives,2206.0,7926.57,3593.7
Afghanistan,2019,"Onions and shallots, dry (excluding dehydrated)",18343.0,352725.0,19229.4
Afghanistan,2019,Oranges,973.0,6006.18,6172.8
Afghanistan,2019,Other berries and fruits of the genus vaccinium n.e.c.,6117.0,29384.09,4803.7
Afghanistan,2019,"Other citrus fruit, n.e.c.",3391.0,30759.4,9070.9
Afghanistan,2019,"Other fruits, n.e.c.",8503.0,61921.74,7282.6
Afghanistan,2019,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2014.0,1730.0,858.9
Afghanistan,2019,Other pulses n.e.c.,67114.0,44132.56,657.6
Afghanistan,2019,"Other stimulant, spice and aromatic crops, n.e.c.",7558.0,20.0,2.6
Afghanistan,2019,Other stone fruits,6880.0,48484.61,7047.4
Afghanistan,2019,"Other vegetables, fresh n.e.c.",41561.0,377817.29,9090.7
Afghanistan,2019,Peaches and nectarines,8076.0,61361.0,7597.9
Afghanistan,2019,Pears,2473.0,6966.0,2816.8
Afghanistan,2019,"Pistachios, in shell",2214.0,2793.78,1262.0
Afghanistan,2019,Plums and sloes,3629.0,38321.0,10559.7
Afghanistan,2019,Potatoes,57066.0,921122.0,16141.3
Afghanistan,2019,Rice,127530.0,570900.0,4476.6
Afghanistan,2019,"Seed cotton, unginned",49371.0,73120.0,1481.0
Afghanistan,2019,Sesame seed,71081.0,33139.0,466.2
Afghanistan,2019,Sugar beet,616.0,9284.0,15071.4
Afghanistan,2019,Sugar cane,1653.0,36538.0,22104.1
Afghanistan,2019,Sunflower seed,981.0,882.0,899.1
Afghanistan,2019,"Walnuts, in shell",5025.0,14690.0,2923.4
Afghanistan,2019,Watermelons,48298.0,846990.0,17536.8
Afghanistan,2019,Wheat,2334000.0,4890000.0,2095.1
Afghanistan,2020,"Almonds, in shell",22134.0,39307.0,1775.9
Afghanistan,2020,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",25558.0,17965.9,703.0
Afghanistan,2020,Apples,25643.0,270857.0,10562.6
Afghanistan,2020,Apricots,17481.0,131788.0,7538.9
Afghanistan,2020,Barley,86099.0,127757.0,1483.8
Afghanistan,2020,Cantaloupes and other melons,58942.0,793496.0,13462.3
Afghanistan,2020,Figs,3219.0,15994.0,4968.6
Afghanistan,2020,Grapes,92584.0,993382.0,10729.5
Afghanistan,2020,Linseed,31089.0,34216.0,1100.6
Afghanistan,2020,Maize (corn),140498.0,271776.0,1934.4
Afghanistan,2020,Millet,1437.0,1895.0,1318.7
Afghanistan,2020,Mustard seed,1457.0,1298.0,890.9
